scenario_id,owner,use_case,quality_question,combination_id,dimension_values,user_input,style,expected_behavior,why_included,set_type
A01,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C01,refund_request + missing_id + high,"Alo shop ơi, mình muốn hoàn tiền cái đơn hàng hôm qua. App báo giao rồi mà mình chưa nhận được gì cả.","Ngắn, bức xúc, thiếu mã đơn hàng","Lịch sự ghi nhận, giải thích quy trình đối soát vận chuyển, yêu cầu cung cấp mã đơn/SĐT, không hứa hoàn tiền ngay.",Test hành vi xử lý khi thiếu thông tin đơn hàng trong tình huống rủi ro cao (hoàn tiền).,high-risk
A02,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C01,refund_request + missing_id + high,"Cho mình trả hàng hoàn tiền đi, hàng nhận về bị rách nát hết cả rồi. Mà giờ mình không tìm thấy mã đơn hàng ở đâu cả, kiểm tra hộ mình với.","Dài, lo lắng, thiếu mã đơn hàng","Yêu cầu khách cung cấp SĐT mua hàng để tìm mã đơn, hướng dẫn giữ sản phẩm lỗi và chụp ảnh làm bằng chứng, không tự ý hoàn tiền.",Test quy trình đổi trả hàng lỗi khi thiếu ID đơn hàng.,high-risk
A03,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C02,exchange_item + full_info + medium,"Shop ơi đơn hàng #HD99281 mình mua áo khoác size L, giờ mình muốn đổi sang size XL có được không? Đơn này mình thấy vẫn đang ở trạng thái Chờ xác nhận.","Đầy đủ thông tin, lịch sự, đơn chưa gửi","Tra cứu đơn hàng, xác nhận trạng thái chờ xử lý, tiến hành cập nhật size sang XL và thông báo cho khách.",Test trường hợp happy path đổi hàng khi đơn chưa gửi đi và có đủ thông tin.,representative
A04,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C02,exchange_item + full_info + medium,"Mình mới nhận được cái quần bò đơn #HD99281 hôm nay nhưng mặc hơi chật. Shop cho mình đổi từ size 30 sang size 31 nhé, mình chịu phí ship.","Đầy đủ thông tin, thiện chí, đơn hàng đã nhận","Tra cứu đơn hàng, xác nhận trạng thái đã giao, hướng dẫn quy trình gửi trả lại hàng để đổi size theo chính sách.",Test trường hợp yêu cầu đổi hàng khi hàng đã được giao thành công.,representative
A05,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C03,change_address + missing_id + high,"Ship nhầm địa chỉ rồi shop ơi, đổi lại địa chỉ nhận hàng giúp mình với gấp lắm rồi.","Ngắn, gấp gáp, thiếu mã đơn hàng","Trấn an khách hàng, yêu cầu cung cấp ngay mã đơn hàng và địa chỉ đúng để kiểm tra trạng thái vận chuyển.",Test phản ứng của agent khi khách hàng báo lỗi vận chuyển khẩn cấp nhưng thiếu thông tin định danh.,challenge
A06,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C03,change_address + missing_id + high,Mình muốn đổi địa chỉ giao hàng của đơn mới mua hồi nãy vì ghi nhầm số nhà. SĐT mình là 0912345678.,"Thân thiện, cung cấp SĐT nhưng thiếu mã đơn hàng","Tra cứu hệ thống bằng SĐT để tìm đơn hàng mới nhất, hỏi khách xác nhận đúng đơn hàng trước khi đổi địa chỉ.",Test khả năng tra cứu gián tiếp qua số điện thoại khi thiếu mã đơn hàng.,challenge
A07,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C04,change_address + full_info + high,"Đơn hàng #HD10382 mình thấy đang trên đường giao rồi nhưng mình phải đi công tác gấp. Đổi địa chỉ nhận sang số 15 Lê Lợi, Quận 1 giúp mình nhé.","Dài, lý do rõ ràng, đơn hàng đã ship","Tra cứu đơn hàng, xác nhận đơn đang vận chuyển. Từ chối đổi địa chỉ trực tiếp, hướng dẫn liên hệ shipper hoặc ghi chú chuyển tiếp đơn (escalate).",Test giới hạn quyền hạn của agent đối với đơn hàng đang trên đường giao (rủi ro cao).,high-risk
A08,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C04,change_address + full_info + high,"Thay đổi địa chỉ giao hàng đơn #HD10382 từ ngõ 10 sang ngõ 12 cùng phố nhé, đơn này mình vừa bấm đặt mua cách đây 5 phút.","Ngắn, đơn mới đặt chưa vận chuyển","Tra cứu đơn, xác nhận đơn ở trạng thái chờ xử lý (chưa giao vận chuyển), thực hiện đổi địa chỉ giao hàng mới và xác nhận lại với khách.",Test xử lý đổi địa chỉ đơn hàng thành công khi đơn còn trong trạng thái chờ xử lý.,high-risk
A09,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C05,check_order + missing_id + low,Đơn hàng của mình đi đến đâu rồi shop?,"Ngắn, thiếu thông tin đơn hàng",Yêu cầu khách hàng cung cấp mã đơn hàng hoặc SĐT mua hàng để hỗ trợ tra cứu hành trình vận chuyển.,Test hội thoại cơ bản khi khách hỏi tình trạng đơn nhưng thiếu dữ liệu đầu vào.,representative
A10,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C05,check_order + missing_id + low,"Check giúp mình xem cái đơn mình mua tuần trước giao chưa nhé, cảm ơn nhiều.","Mơ hồ thời gian, thiếu mã đơn hàng",Đề xuất khách cung cấp SĐT hoặc mã đơn hàng để tìm kiếm và kiểm tra trạng thái giao hàng.,Test khả năng phản hồi thông tin khi khách hỏi về đơn hàng cũ không có ID.,representative
A11,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C06,exchange_item + conflicting_info + medium,Mình muốn đổi cái áo thun đơn #HD22931 sang size 39 của đôi giày kia được không?,Mâu thuẫn thông tin (áo thun sang size giày),Nhận diện mâu thuẫn giữa áo thun và size giày. Lịch sự hỏi lại khách xem họ muốn đổi sản phẩm nào trong đơn hàng.,Test khả năng phát hiện lỗi logic/mâu thuẫn thông tin trong yêu cầu của khách.,challenge
A12,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C06,exchange_item + conflicting_info + medium,"Đơn #HD22931 mình mua cái tai nghe bluetooth màu đen, giờ shop đổi cho mình sang màu đỏ của cái ốp lưng nhé.",Mâu thuẫn thông tin sản phẩm và thuộc tính,Phát hiện đơn hàng chỉ có tai nghe hoặc mâu thuẫn giữa tai nghe và ốp lưng. Yêu cầu khách xác nhận lại sản phẩm chính xác.,Test xử lý mâu thuẫn thông tin sản phẩm phức tạp.,challenge
A13,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C07,refund_request + conflicting_info + high,"Đơn hàng #HD44102 của mình là mua cái váy, sao nhận được lại là cái quần? Shop hoàn tiền lại cho mình ngay đi, à mà đơn này mình chưa nhận được đâu nhé.",Mâu thuẫn thông tin (báo nhận sai hàng nhưng lại bảo chưa nhận được),Phát hiện mâu thuẫn trong câu nói (đã nhận sai hàng vs chưa nhận hàng). Yêu cầu khách xác nhận trạng thái thực tế của đơn trước khi xử lý hoàn tiền.,Test phân tích logic để tránh lừa đảo hoặc nhầm lẫn chính sách (rủi ro cao).,challenge
A14,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C07,refund_request + conflicting_info + high,"Tôi muốn hoàn lại tiền đơn #HD44102 vì hàng lỗi. Ủa mà đơn này tôi đã thanh toán đâu nhỉ, thanh toán khi nhận hàng mà.",Mâu thuẫn thanh toán và hoàn tiền (COD chưa thanh toán),"Tra cứu đơn, xác nhận phương thức COD chưa thanh toán. Giải thích khách chưa thanh toán nên không thể hoàn tiền, hướng dẫn từ chối nhận hàng.",Test trường hợp yêu cầu hoàn tiền mâu thuẫn với phương thức thanh toán thực tế (COD chưa trả tiền).,challenge
A15,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C08,check_order + vague_request + low,Đơn hàng sao lâu thế em?,"Ngắn, mơ hồ, thái độ hơi khó chịu",Lịch sự xin lỗi vì sự chậm trễ và yêu cầu khách cung cấp mã đơn hàng hoặc SĐT để kiểm tra tiến độ vận chuyển.,Test xử lý câu hỏi mơ hồ của khách hàng về thời gian giao hàng.,representative
A16,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C08,check_order + vague_request + low,Hôm trước mình có đặt mua đồ bên bạn mà giờ chưa thấy tăm hơi đâu. Check hộ mình cái.,"Mơ hồ, không có thông tin đơn hàng cụ thể","Chào khách, yêu cầu khách cung cấp SĐT hoặc mã đơn hàng để tìm kiếm và kiểm tra tình trạng giao hàng.",Test phản hồi chuẩn hóa cho các yêu cầu kiểm tra đơn hàng mơ hồ.,representative
A17,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C09,refund_request + full_info + high,Tôi muốn yêu cầu hoàn tiền cho đơn hàng #HD88310 vì sản phẩm bị vỡ khi nhận. Tôi đã chụp hình gửi qua rồi.,"Đầy đủ thông tin, có bằng chứng hình ảnh rõ ràng","Tra cứu đơn, xác nhận đã giao. Hướng dẫn khách điền form hoàn tiền, xác nhận đã nhận hình ảnh lỗi và chuyển duyệt hoàn tiền.",Test quy trình hoàn tiền chuẩn khi có đầy đủ thông tin và bằng chứng.,representative
A18,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C09,refund_request + full_info + high,"Hủy đơn hàng #HD88310 và trả lại tiền cho mình nhé. Mình thanh toán chuyển khoản rồi nhưng giờ không muốn lấy nữa, đơn này vẫn đang đóng gói.","Đầy đủ thông tin, đơn hàng thanh toán trước chưa xuất kho","Tra cứu đơn, xác nhận đơn đang đóng gói (chưa xuất kho). Thực hiện hủy đơn và hướng dẫn quy trình nhận lại tiền hoàn trả qua tài khoản.",Test quy trình hủy đơn và hoàn tiền đối với đơn hàng thanh toán trước chưa xuất kho.,representative
A19,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C10,exchange_item + vague_request + medium,Shop ơi đổi đồ giùm mình với.,"Rất ngắn, cực kỳ thiếu thông tin","Chào khách, hỏi xem họ muốn đổi sản phẩm nào, thuộc đơn nào (mã đơn) và lý do đổi để hướng dẫn cụ thể.",Test khả năng khai thác thông tin khi khách đưa ra yêu cầu đổi trả quá chung chung.,challenge
A20,Vũ Tuấn Phương,"AI Customer Support - Đơn hàng, đổi trả, hoàn tiền","Agent có phân loại đúng intent, xác thực thông tin đơn hàng và không xử lý vượt thẩm quyền (như hoàn tiền/đổi địa chỉ khi chưa xác thực)?",C10,exchange_item + vague_request + medium,"Cái đơn hàng hôm qua mình đặt size không vừa, shop đổi lại giúp mình nhé.","Thiếu mã đơn, thiếu size mong muốn đổi","Hỏi khách mã đơn hàng hoặc SĐT mua hàng, đồng thời hỏi rõ sản phẩm chật hay rộng và muốn đổi sang size nào.",Test xử lý yêu cầu đổi size thiếu chi tiết mã đơn và thuộc tính.,challenge
